1	 91		 GM	Liang, Awonder	 2519	 0	 1/2-1/2	 0	 GM	Carlsen, Magnus	 2838		 1
2	 2		 GM	Caruana, Fabiano	 2766	 0	 1-0	 0	 GM	Corrales Jimenez, Fidel	 2516		 92
3	 93		 GM	Harsha, Bharathakoti	 2516	 0	 0-1	 0	 GM	Vachier-Lagrave, Maxime	 2763		 3
4	 4		 GM	Wei, Yi	 2760	 0	 1-0	 0	 GM	Hakobyan, Aram	 2513		 94
5	 95		 GM	Kadric, Denis	 2513	 0	 1/2-1/2	 0	 GM	Nepomniachtchi, Ian	 2758		 5
6	 6		 GM	Aronian, Levon	 2757	 0	 1-0	 0	 GM	Andersen, Mads	 2512		 96
7	 97		 GM	Erenburg, Sergey	 2510	 0	 0-1	 0	 GM	Firouzja, Alireza	 2756		 7
8	 8		 GM	Nakamura, Hikaru	 2755	 0	 1/2-1/2	 0	 GM	Jumabayev, Rinat	 2503		 98
9	 99		 GM	Chirila, Ioan-Cristian	 2500	 0	 0-1	 0	 GM	Abdusattorov, Nodirbek	 2740		 9
10	 10		 GM	Duda, Jan-Krzysztof	 2740	 0	 1/2-1/2	 0	 IM	Makarian, Rudik	 2498		 100
11	 101		 GM	Pranav, V	 2497	 0	 1/2-1/2	 0	 GM	So, Wesley	 2739		 11
12	 12		 GM	Xiong, Jeffery	 2714	 0	 0-1	 0	 GM	Grebnev, Aleksey	 2496		 102
13	 103		 GM	Zemlyanskii, Ivan	 2495	 0	 1/2-1/2	 0	 GM	Mamedyarov, Shakhriyar	 2711		 13
14	 14		 GM	Dominguez Perez, Leinier	 2699	 0	 1-0	 0	 GM	Amar, Elham	 2494		 104
15	 105		 GM	Le Tuan, Minh	 2492	 0	 0-1	 0	 GM	Yu, Yangyi	 2698		 15
16	 16		 GM	Erigaisi, Arjun	 2694	 0	 1-0	 0	 GM	Brodsky, David	 2491		 106
17	 107		 GM	Khanin, Semen	 2484	 0	 0-1	 0	 GM	Praggnanandhaa, R	 2688		 17
18	 18		 GM	Giri, Anish	 2678	 0	 1-0	 0	 GM	Benjamin, Joel	 2473		 108
19	 109		 GM	Dragnev, Valentin	 2473	 0	 0-1	 0	 GM	Dubov, Daniil	 2677		 19
20	 20		 GM	Grischuk, Alexander	 2675	 0	 1-0	 0	 IM	Lou, Yiping	 2471		 110
21	 111		 GM	Christiansen, Johan-Sebastian	 2468	 0	 1/2-1/2	 0	 GM	Onischuk, Alexander	 2668		 21
22	 22		 GM	Le, Quang Liem	 2657	 0	 0-1	 0	 GM	Vakhidov, Jakhongir	 2466		 112
23	 113		 GM	Muradli, Mahammad	 2464	 0	 1/2-1/2	 0	 GM	Oparin, Grigoriy	 2655		 23
24	 24		 GM	Sindarov, Javokhir	 2655	 0	 1-0	 0	 GM	Gagunashvili, Merab	 2460		 114
25	 115		 GM	Zarnicki, Pablo	 2460	 0	 0-1	 0	 GM	Sarana, Alexey	 2654		 25
26	 26		 GM	van Foreest, Jorden	 2651	 0	 0-1	 0	 GM	Jacobson, Brandon	 2459		 116
27	 117		 GM	Madaminov, Mukhiddin	 2456	 0	 0-1	 0	 GM	Ivanchuk, Vasyl	 2647		 27
28	 28		 GM	Salem, A.R. Saleh	 2647	 0	 1/2-1/2	 0	 GM	Rasulov, Vugar	 2456		 118
29	 119		 GM	Wagner, Dennis	 2456	 0	 0-1	 0	 GM	Robson, Ray	 2645		 29
30	 30		 GM	Bortnyk, Olexandr	 2642	 0	 1-0	 0	 GM	Ghosh, Diptayan	 2455		 120
31	 121		 GM	Svane, Frederik	 2455	 0	 1-0	 0	 GM	Esipenko, Andrey	 2642		 31
32	 32		 GM	Cheparinov, Ivan	 2638	 0	 1/2-1/2	 0	 GM	Lodici, Lorenzo	 2450		 122
33	 123		 IM	Bilych, Oleksii	 2450	 0	 0-1	 0	 GM	Lu, Shanglei	 2638		 33
