1	 20		 GM	Grischuk, Alexander	 2675	 8.5	 1/2-1/2	 8	 GM	Nepomniachtchi, Ian	 2758		 5
2	 17		 GM	Praggnanandhaa, R	 2688	 8	 0-1	 8.5	 GM	Murzin, Volodar	 2588		 59
3	 16		 GM	Erigaisi, Arjun	 2694	 8	 1/2-1/2	 8	 GM	Dominguez Perez, Leinier	 2699		 14
4	 31		 GM	Esipenko, Andrey	 2642	 7.5	 0-1	 7.5	 GM	Firouzja, Alireza	 2756		 7
5	 19		 GM	Dubov, Daniil	 2677	 7.5	 1/2-1/2	 7.5	 GM	Duda, Jan-Krzysztof	 2740		 10
6	 41		 GM	Grigoryan, Karen H.	 2622	 7.5	 1-0	 7.5	 GM	Mamedyarov, Shakhriyar	 2711		 13
7	 15		 GM	Yu, Yangyi	 2698	 7.5	 1/2-1/2	 7.5	 GM	Giri, Anish	 2678		 18
8	 45		 GM	Sevian, Samuel	 2614	 7.5	 1-0	 7.5	 GM	Bortnyk, Olexandr	 2642		 30
9	 2		 GM	Caruana, Fabiano	 2766	 7	 1-0	 7.5	 GM	Lazavik, Denis	 2553		 75
10	 43		 GM	Niemann, Hans Moke	 2618	 7	 1/2-1/2	 7	 GM	Aronian, Levon	 2757		 6
11	 36		 GM	Deac, Bogdan-Daniel	 2635	 7	 1/2-1/2	 7	 GM	Nakamura, Hikaru	 2755		 8
12	 9		 GM	Abdusattorov, Nodirbek	 2740	 7	 1-0	 7	 GM	Shankland, Sam	 2618		 44
13	 22		 GM	Le, Quang Liem	 2657	 7	 1/2-1/2	 7	 GM	Martirosyan, Haik M.	 2609		 48
14	 24		 GM	Sindarov, Javokhir	 2655	 7	 1-0	 7	 GM	Volokitin, Andrei	 2569		 66
15	 26		 GM	van Foreest, Jorden	 2651	 7	 1/2-1/2	 7	 GM	Theodorou, Nikolas	 2535		 83
16	 88		 GM	Bjerre, Jonas Buhl	 2524	 7	 0-1	 7	 GM	Robson, Ray	 2645		 29
17	 116		 GM	Jacobson, Brandon	 2459	 7	 1-0	 7	 GM	Cheparinov, Ivan	 2638		 32
18	 34		 GM	Naroditsky, Daniel	 2638	 7	 0-1	 7	 GM	Muradli, Mahammad	 2464		 113
19	 3		 GM	Vachier-Lagrave, Maxime	 2763	 6.5	 1/2-1/2	 6.5	 GM	Bu, Xiangzhi	 2569		 65
20	 55		 GM	Bok, Benjamin	 2596	 6.5	 0-1	 6.5	 GM	Wei, Yi	 2760		 4
21	 11		 GM	So, Wesley	 2739	 6.5	 1/2-1/2	 6.5	 GM	Antipov, Mikhail Al.	 2591		 56
22	 12		 GM	Xiong, Jeffery	 2714	 6.5	 1-0	 6.5	 GM	Pichot, Alan	 2591		 57
23	 27		 GM	Ivanchuk, Vasyl	 2647	 6.5	 1/2-1/2	 6.5	 GM	Dardha, Daniel	 2554		 74
