1	 1		 GM	Carlsen, Magnus	 2838	 2	 ½ - ½	 2	 GM	Shimanov, Aleksandr	 2578		 62
2	 46		 GM	Safarli, Eltaj	 2611	 3	 0 - 1	 3	 GM	Dominguez Perez, Leinier	 2699		 14
3	 52		 GM	Sargsyan, Shant	 2601	 3	 1 - 0	 3	 GM	Giri, Anish	 2678		 18
4	 59		 GM	Murzin, Volodar	 2588	 3	 1 - 0	 3	 GM	Lenderman, Aleksandr	 2621		 42
5	 45		 GM	Sevian, Samuel	 2614	 3	 ½ - ½	 3	 GM	Sadhwani, Raunak	 2591		 58
6	 3		 GM	Vachier-Lagrave, Maxime	 2763	 2.5	 ½ - ½	 2.5	 GM	Svane, Rasmus	 2629		 38
7	 55		 GM	Bok, Benjamin	 2596	 2.5	 0 - 1	 2.5	 GM	Aronian, Levon	 2757		 6
8	 39		 GM	Andriasian, Zaven	 2624	 2.5	 ½ - ½	 2.5	 GM	Duda, Jan-Krzysztof	 2740		 10
9	 13		 GM	Mamedyarov, Shakhriyar	 2711	 2.5	 ½ - ½	 2.5	 GM	Deac, Bogdan-Daniel	 2635		 36
10	 15		 GM	Yu, Yangyi	 2698	 2.5	 ½ - ½	 2.5	 GM	Martirosyan, Haik M.	 2609		 48
11	 19		 GM	Dubov, Daniil	 2677	 2.5	 ½ - ½	 2.5	 GM	Shankland, Sam	 2618		 44
12	 116		 GM	Jacobson, Brandon	 2459	 2.5	 1 - 0	 2.5	 GM	Grischuk, Alexander	 2675		 20
13	 162		 FM	Adewumi, Tanitoluwa	 2262	 2.5	 0 - 1	 2.5	 GM	Sindarov, Javokhir	 2655		 24
14	 29		 GM	Robson, Ray	 2645	 2.5	 1 - 0	 2.5	 GM	Dudin, Gleb	 2436		 125
15	 85		 GM	Woodward, Andy	 2530	 2.5	 0 - 1	 2.5	 GM	Naroditsky, Daniel	 2638		 34
16	 5		 GM	Nepomniachtchi, Ian	 2758	 2	 ½ - ½	 2.5	 GM	Durarbayli, Vasif	 2531		 84
17	 69		 GM	Hong, Andrew	 2560	 2	 0 - 1	 2	 GM	Caruana, Fabiano	 2766		 2
18	 71		 GM	Tari, Aryan	 2559	 2	 ½ - ½	 2	 GM	Wei, Yi	 2760		 4
19	 7		 GM	Firouzja, Alireza	 2756	 2	 1 - 0	 2	 GM	Volokitin, Andrei	 2569		 66
20	 87		 GM	Moroni, Luca Jr	 2525	 2	 0 - 1	 2	 GM	Nakamura, Hikaru	 2755		 8
21	 9		 GM	Abdusattorov, Nodirbek	 2740	 2	 1 - 0	 2	 GM	Rakhmanov, Aleksandr	 2561		 68
22	 92		 GM	Corrales Jimenez, Fidel	 2516	 2	 0 - 1	 2	 GM	Erigaisi, Arjun	 2694		 16
23	 17		 GM	Praggnanandhaa, R	 2688	 2	 1 - 0	 2	 GM	Vokhidov, Shamsiddin	 2540		 80
24	 21		 GM	Onischuk, Alexander	 2668	 2	 0 - 1	 2	 GM	Nogerbek, Kazybek	 2526		 86
25	 25		 GM	Sarana, Alexey	 2654	 2	 0 - 1	 2	 GM	Bjerre, Jonas Buhl	 2524		 88
26	 27		 GM	Ivanchuk, Vasyl	 2647	 2	 ½ - ½	 2	 GM	Kobalia, Mikhail	 2522		 90
27	 124		 IM	Tsaruk, Maksim	 2437	 2	 ½ - ½	 2	 GM	Bortnyk, Olexandr	 2642		 30
28	 33		 GM	Lu, Shanglei	 2638	 2	 ½ - ½	 2	 GM	Svane, Frederik	 2455		 121
29	 37		 GM	Gelfand, Boris	 2630	 2	 ½ - ½	 2	 IM	Bilych, Oleksii	 2450		 123
30	 41		 GM	Grigoryan, Karen H.	 2622	 2	 ½ - ½	 2	 IM	Can, Isik	 2371		 151
31	 43		 GM	Niemann, Hans Moke	 2618	 2	 1 - 0	 2	 IM	Ansat, Aldiyar	 2338		 155
32	 49		 GM	Bluebaum, Matthias	 2608	 2	 ½ - ½	 2	 IM	Amartuvshin, Ganzorig	 2298		 159
33	 152		 IM	Mamedov, Edgar	 2356	 2	 ½ - ½	 2	 GM	Akobian, Varuzhan	 2604		 50
34	 51		 GM	Petrosian, Tigran L.	 2601	 2	 1 - 0	 2	 IM	Bai, Adelard	 2232		 165
35	 53		 GM	Fressinet, Laurent	 2598	 2	 ½ - ½	 2	 IM	Hardaway, Brewington	 2181		 173
36	 140		 GM	Escobar Forero, Alder	 2409	 2	 0 - 1	 2	 GM	Antipov, Mikhail Al.	 2591		 56
37	 158		 IM	Chasin, Nico	 2300	 2	 ½ - ½	 2	 GM	Pichot, Alan	 2591		 57
38	 61		 GM	Donchenko, Alexander	 2578	 2	 1 - 0	 2	 FM	Smirnov, Mark	 2045		 178
39	 11		 GM	So, Wesley	 2739	 1.5	 ½ - ½	 1.5	 GM	Chirila, Ioan-Cristian	 2500		 99
40	 23		 GM	Oparin, Grigoriy	 2655	 1.5	 0 - 1	 1.5	 GM	Pranav, V	 2497		 101
41	 113		 GM	Muradli, Mahammad	 2464	 1.5	 1 - 0	 1.5	 GM	Salem, A.R. Saleh	 2647		 28
42	 31		 GM	Esipenko, Andrey	 2642	 1.5	 1 - 0	 1.5	 GM	Zemlyanskii, Ivan	 2495		 103
43	 100		 IM	Makarian, Rudik	 2498	 1.5	 ½ - ½	 1.5	 GM	Cheparinov, Ivan	 2638		 32
44	 35		 GM	Anton Guijarro, David	 2635	 1.5	 ½ - ½	 1.5	 GM	Khanin, Semen	 2484		 107
45	 118		 GM	Rasulov, Vugar	 2456	 1.5	 0 - 1	 1.5	 GM	Meier, Georg	 2624		 40
46	 65		 GM	Bu, Xiangzhi	 2569	 1.5	 1 - 0	 1.5	 IM	Lou, Yiping	 2471		 110
47	 67		 GM	Paravyan, David	 2562	 1.5	 0 - 1	 1.5	 GM	Vakhidov, Jakhongir	 2466		 112
48	 122		 GM	Lodici, Lorenzo	 2450	 1.5	 0 - 1	 1.5	 GM	Lomasov, Semyon	 2560		 70
49	 75		 GM	Lazavik, Denis	 2553	 1.5	 1 - 0	 1.5	 GM	Zarnicki, Pablo	 2460		 115
50	 150		 IM	Macovei, Andrei	 2375	 1.5	 1 - 0	 1.5	 GM	Moradiabadi, Elshan	 2552		 76
51	 144		 IM	Gan-Erdene, Sugar	 2405	 1.5	 1 - 0	 1.5	 GM	Aravindh, Chithambaram Vr.	 2546		 78
