1	 75		 GM	Lazavik, Denis	 2553	 2.5	 1 - 0	 2.5	 GM	Carlsen, Magnus	 2838		 1
2	 14		 GM	Dominguez Perez, Leinier	 2699	 4	 ½ - ½	 4	 GM	Sargsyan, Shant	 2601		 52
3	 6		 GM	Aronian, Levon	 2757	 3.5	 ½ - ½	 4	 GM	Murzin, Volodar	 2588		 59
4	 24		 GM	Sindarov, Javokhir	 2655	 3.5	 ½ - ½	 3.5	 GM	Sevian, Samuel	 2614		 45
5	 58		 GM	Sadhwani, Raunak	 2591	 3.5	 ½ - ½	 3.5	 GM	Robson, Ray	 2645		 29
6	 34		 GM	Naroditsky, Daniel	 2638	 3.5	 1 - 0	 3.5	 GM	Jacobson, Brandon	 2459		 116
7	 2		 GM	Caruana, Fabiano	 2766	 3	 ½ - ½	 3	 GM	Svane, Rasmus	 2629		 38
8	 42		 GM	Lenderman, Aleksandr	 2621	 3	 ½ - ½	 3	 GM	Vachier-Lagrave, Maxime	 2763		 3
9	 44		 GM	Shankland, Sam	 2618	 3	 ½ - ½	 3	 GM	Firouzja, Alireza	 2756		 7
10	 8		 GM	Nakamura, Hikaru	 2755	 3	 1 - 0	 3	 GM	Andriasian, Zaven	 2624		 39
11	 48		 GM	Martirosyan, Haik M.	 2609	 3	 0 - 1	 3	 GM	Abdusattorov, Nodirbek	 2740		 9
12	 10		 GM	Duda, Jan-Krzysztof	 2740	 3	 1 - 0	 3	 GM	Niemann, Hans Moke	 2618		 43
13	 56		 GM	Antipov, Mikhail Al.	 2591	 3	 ½ - ½	 3	 GM	Mamedyarov, Shakhriyar	 2711		 13
14	 84		 GM	Durarbayli, Vasif	 2531	 3	 ½ - ½	 3	 GM	Yu, Yangyi	 2698		 15
15	 16		 GM	Erigaisi, Arjun	 2694	 3	 1 - 0	 3	 GM	Safarli, Eltaj	 2611		 46
16	 86		 GM	Nogerbek, Kazybek	 2526	 3	 1 - 0	 3	 GM	Praggnanandhaa, R	 2688		 17
17	 18		 GM	Giri, Anish	 2678	 3	 1 - 0	 3	 GM	Donchenko, Alexander	 2578		 61
18	 88		 GM	Bjerre, Jonas Buhl	 2524	 3	 ½ - ½	 3	 GM	Dubov, Daniil	 2677		 19
19	 36		 GM	Deac, Bogdan-Daniel	 2635	 3	 ½ - ½	 3	 GM	Petrosian, Tigran L.	 2601		 51
20	 4		 GM	Wei, Yi	 2760	 2.5	 ½ - ½	 2.5	 GM	Nesterov, Arseniy	 2539		 81
21	 85		 GM	Woodward, Andy	 2530	 2.5	 ½ - ½	 2.5	 GM	Nepomniachtchi, Ian	 2758		 5
22	 20		 GM	Grischuk, Alexander	 2675	 2.5	 1 - 0	 2.5	 GM	Muradli, Mahammad	 2464		 113
23	 101		 GM	Pranav, V	 2497	 2.5	 1 - 0	 2.5	 GM	Ivanchuk, Vasyl	 2647		 27
