1	 1		 GM	Carlsen, Magnus	 2838	 4	 1 - 0	 4	 GM	Tari, Aryan	 2559		 71
2	 10		 GM	Duda, Jan-Krzysztof	 2740	 5.5	 1 - 0	 6	 GM	Naroditsky, Daniel	 2638		 34
3	 24		 GM	Sindarov, Javokhir	 2655	 5.5	 ½ - ½	 5.5	 GM	Dominguez Perez, Leinier	 2699		 14
4	 52		 GM	Sargsyan, Shant	 2601	 5.5	 0 - 1	 5.5	 GM	Erigaisi, Arjun	 2694		 16
5	 59		 GM	Murzin, Volodar	 2588	 5.5	 ½ - ½	 5.5	 GM	Giri, Anish	 2678		 18
6	 101		 GM	Pranav, V	 2497	 5.5	 0 - 1	 5.5	 GM	Grischuk, Alexander	 2675		 20
7	 31		 GM	Esipenko, Andrey	 2642	 5	 1 - 0	 5	 GM	Caruana, Fabiano	 2766		 2
8	 36		 GM	Deac, Bogdan-Daniel	 2635	 5	 ½ - ½	 5	 GM	Aronian, Levon	 2757		 6
9	 45		 GM	Sevian, Samuel	 2614	 5	 1 - 0	 5	 GM	Firouzja, Alireza	 2756		 7
10	 44		 GM	Shankland, Sam	 2618	 5	 0 - 1	 5	 GM	Nakamura, Hikaru	 2755		 8
11	 9		 GM	Abdusattorov, Nodirbek	 2740	 5	 1 - 0	 5	 GM	Pichot, Alan	 2591		 57
12	 13		 GM	Mamedyarov, Shakhriyar	 2711	 5	 ½ - ½	 5	 GM	Sadhwani, Raunak	 2591		 58
13	 15		 GM	Yu, Yangyi	 2698	 5	 ½ - ½	 5	 GM	Lazavik, Denis	 2553		 75
14	 5		 GM	Nepomniachtchi, Ian	 2758	 4.5	 1 - 0	 5	 IM	Isanzhulov, Arystan	 2427		 131
15	 11		 GM	So, Wesley	 2739	 4.5	 ½ - ½	 4.5	 GM	Durarbayli, Vasif	 2531		 84
16	 19		 GM	Dubov, Daniil	 2677	 4.5	 ½ - ½	 4.5	 GM	Lomasov, Semyon	 2560		 70
17	 29		 GM	Robson, Ray	 2645	 4.5	 1 - 0	 4.5	 GM	Jumabayev, Rinat	 2503		 98
18	 69		 GM	Hong, Andrew	 2560	 4.5	 ½ - ½	 4.5	 GM	Bortnyk, Olexandr	 2642		 30
19	 33		 GM	Lu, Shanglei	 2638	 4.5	 1 - 0	 4.5	 IM	Makarian, Rudik	 2498		 100
20	 37		 GM	Gelfand, Boris	 2630	 4.5	 1 - 0	 4.5	 GM	Nogerbek, Kazybek	 2526		 86
21	 41		 GM	Grigoryan, Karen H.	 2622	 4.5	 ½ - ½	 4.5	 GM	Vakhidov, Jakhongir	 2466		 112
22	 49		 GM	Bluebaum, Matthias	 2608	 4.5	 1 - 0	 4.5	 GM	Svane, Frederik	 2455		 121
23	 113		 GM	Muradli, Mahammad	 2464	 4.5	 1 - 0	 4.5	 GM	Akobian, Varuzhan	 2604		 50
24	 116		 GM	Jacobson, Brandon	 2459	 4.5	 ½ - ½	 4.5	 GM	Antipov, Mikhail Al.	 2591		 56
25	 144		 IM	Gan-Erdene, Sugar	 2405	 4.5	 0 - 1	 4.5	 GM	Bu, Xiangzhi	 2569		 65
26	 67		 GM	Paravyan, David	 2562	 4.5	 ½ - ½	 4.5	 IM	Can, Isik	 2371		 151
27	 3		 GM	Vachier-Lagrave, Maxime	 2763	 4	 0 - 1	 4	 GM	Dardha, Daniel	 2554		 74
28	 105		 GM	Le Tuan, Minh	 2492	 4	 0 - 1	 4	 GM	Wei, Yi	 2760		 4
29	 81		 GM	Nesterov, Arseniy	 2539	 4	 0 - 1	 4	 GM	Xiong, Jeffery	 2714		 12
30	 17		 GM	Praggnanandhaa, R	 2688	 4	 1 - 0	 4	 GM	Suleymanli, Aydin	 2549		 77
31	 27		 GM	Ivanchuk, Vasyl	 2647	 4	 ½ - ½	 4	 GM	Aravindh, Chithambaram Vr.	 2546		 78
32	 35		 GM	Anton Guijarro, David	 2635	 4	 1 - 0	 4	 GM	Woodward, Andy	 2530		 85
33	 38		 GM	Svane, Rasmus	 2629	 4	 0 - 1	 4	 GM	Bjerre, Jonas Buhl	 2524		 88
34	 61		 GM	Donchenko, Alexander	 2578	 4	 0 - 1	 4	 GM	Liang, Awonder	 2519		 91
