1	 16		 GM	Erigaisi, Arjun	 2694	 6.5	 ½ - ½	 6.5	 GM	Duda, Jan-Krzysztof	 2740		 10
2	 20		 GM	Grischuk, Alexander	 2675	 6.5	 ½ - ½	 6	 GM	Abdusattorov, Nodirbek	 2740		 9
3	 8		 GM	Nakamura, Hikaru	 2755	 6	 0 - 1	 6	 GM	Murzin, Volodar	 2588		 59
4	 14		 GM	Dominguez Perez, Leinier	 2699	 6	 ½ - ½	 6	 GM	Esipenko, Andrey	 2642		 31
5	 18		 GM	Giri, Anish	 2678	 6	 ½ - ½	 6	 GM	Sevian, Samuel	 2614		 45
6	 34		 GM	Naroditsky, Daniel	 2638	 6	 ½ - ½	 6	 GM	Sindarov, Javokhir	 2655		 24
7	 5		 GM	Nepomniachtchi, Ian	 2758	 5.5	 1 - 0	 5.5	 GM	Gelfand, Boris	 2630		 37
8	 6		 GM	Aronian, Levon	 2757	 5.5	 ½ - ½	 5.5	 GM	Bluebaum, Matthias	 2608		 49
9	 13		 GM	Mamedyarov, Shakhriyar	 2711	 5.5	 1 - 0	 5.5	 GM	Sargsyan, Shant	 2601		 52
10	 58		 GM	Sadhwani, Raunak	 2591	 5.5	 ½ - ½	 5.5	 GM	Yu, Yangyi	 2698		 15
11	 65		 GM	Bu, Xiangzhi	 2569	 5.5	 ½ - ½	 5.5	 GM	Robson, Ray	 2645		 29
12	 75		 GM	Lazavik, Denis	 2553	 5.5	 1 - 0	 5.5	 GM	Lu, Shanglei	 2638		 33
13	 113		 GM	Muradli, Mahammad	 2464	 5.5	 ½ - ½	 5.5	 GM	Deac, Bogdan-Daniel	 2635		 36
14	 2		 GM	Caruana, Fabiano	 2766	 5	 1 - 0	 5.5	 GM	Pranav, V	 2497		 101
15	 4		 GM	Wei, Yi	 2760	 5	 1 - 0	 5	 GM	Paravyan, David	 2562		 67
16	 7		 GM	Firouzja, Alireza	 2756	 5	 1 - 0	 5	 GM	Hong, Andrew	 2560		 69
17	 74		 GM	Dardha, Daniel	 2554	 5	 ½ - ½	 5	 GM	So, Wesley	 2739		 11
18	 12		 GM	Xiong, Jeffery	 2714	 5	 ½ - ½	 5	 GM	Lomasov, Semyon	 2560		 70
19	 84		 GM	Durarbayli, Vasif	 2531	 5	 0 - 1	 5	 GM	Praggnanandhaa, R	 2688		 17
20	 91		 GM	Liang, Awonder	 2519	 5	 0 - 1	 5	 GM	Dubov, Daniil	 2677		 19
21	 30		 GM	Bortnyk, Olexandr	 2642	 5	 ½ - ½	 5	 GM	Theodorou, Nikolas	 2535		 83
22	 131		 IM	Isanzhulov, Arystan	 2427	 5	 ½ - ½	 5	 GM	Anton Guijarro, David	 2635		 35
23	 88		 GM	Bjerre, Jonas Buhl	 2524	 5	 ½ - ½	 5	 GM	Grigoryan, Karen H.	 2622		 41
24	 112		 GM	Vakhidov, Jakhongir	 2466	 5	 ½ - ½	 5	 GM	Shankland, Sam	 2618		 44
25	 56		 GM	Antipov, Mikhail Al.	 2591	 5	 1 - 0	 5	 GM	Ghosh, Diptayan	 2455		 120
26	 57		 GM	Pichot, Alan	 2591	 5	 0 - 1	 5	 GM	Jacobson, Brandon	 2459		 116
27	 66		 GM	Volokitin, Andrei	 2569	 5	 ½ - ½	 5	 IM	Can, Isik	 2371		 151
28	 86		 GM	Nogerbek, Kazybek	 2526	 4.5	 ½ - ½	 4.5	 GM	Le, Quang Liem	 2657		 22
29	 98		 GM	Jumabayev, Rinat	 2503	 4.5	 1 - 0	 4.5	 GM	Sarana, Alexey	 2654		 25
30	 100		 IM	Makarian, Rudik	 2498	 4.5	 ½ - ½	 4.5	 GM	Ivanchuk, Vasyl	 2647		 27
31	 32		 GM	Cheparinov, Ivan	 2638	 4.5	 1 - 0	 4.5	 GM	Moroni, Luca Jr	 2525		 87
32	 139		 GM	Karthik, Venkataraman	 2411	 4.5	 ½ - ½	 4.5	 GM	Andriasian, Zaven	 2624		 39
33	 40		 GM	Meier, Georg	 2624	 4.5	 1 - 0	 4.5	 GM	Svane, Frederik	 2455		 121
34	 48		 GM	Martirosyan, Haik M.	 2609	 4.5	 1 - 0	 4.5	 IM	Gan-Erdene, Sugar	 2405		 144
35	 50		 GM	Akobian, Varuzhan	 2604	 4.5	 ½ - ½	 4.5	 IM	Manafov, Vugar	 2349		 154
36	 158		 IM	Chasin, Nico	 2300	 4.5	 1 - 0	 4.5	 GM	Ibarra Jerez, Jose Carlos	 2555		 73
